运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,密文元素数,明文元素数,交叉块数值秩,交叉块条件数,逆方法
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
20260721-194847-real-d3200-outer-partial_AB-ratio1-full,42,base_model.model.model.layers.18.self_attn.q_proj.lora.default,外积,partial_AB,1,关,3200,3200,可行,正常,外积 CKKS 完整矩阵,203776,10036224,N/A,N/A,N/A
