运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,客户端数量,LoRA 秩,LoRA alpha,LoRA scaling,skeleton rank,实际 skeleton rank,初始化 context 引用,可行性,精度状态,备注
20260721-181805-real-d3200,0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260721-181805-real-d3200,1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260721-181805-real-d3200,2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260721-181805-real-d3200,3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260721-181805-real-d3200,4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260721-181805-real-d3200,5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260721-181805-real-d3200,6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260721-181805-real-d3200,7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260721-181805-real-d3200,8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260721-181805-real-d3200,9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,正常,外积 CKKS skeleton
20260721-181805-real-d3200,10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260721-181805-real-d3200,11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
20260721-181805-real-d3200,12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,外积,full,N/A,开,3200,3200,4,4,8,2.0,16,16,context-外积,可行,warning,外积 CKKS skeleton
